Rank,University,URL,Country,Number of FTE Students,Number of Students per staff,International Students,Female Male Ratio,Year
70,Leiden University,https://www.timeshighereducation.com/world-university-rankings/leiden-university,Netherlands,30178,19,0.18,59 : 41,2021
72,Erasmus University Rotterdam,https://www.timeshighereducation.com/world-university-rankings/erasmus-university-rotterdam,Netherlands,26453,26.8,0.22,50 : 50,2021
73,University of Montreal,https://www.timeshighereducation.com/world-university-rankings/university-montreal,Canada,36774,20.2,0.21,n/a,2021
73,University of Zurich,https://www.timeshighereducation.com/world-university-rankings/university-zurich,Switzerland,22960,14.8,0.21,57 : 43,2021
75,Charité - Universitätsmedizin Berlin,https://www.timeshighereducation.com/world-university-rankings/charite-universitatsmedizin-berlin,Germany,7431,17.4,0.2,65 : 35,2021
75,Utrecht University,https://www.timeshighereducation.com/world-university-rankings/utrecht-university,Netherlands,32022,14,0.1,58 : 42,2021
77,University of Warwick,https://www.timeshighereducation.com/world-university-rankings/university-warwick,United Kingdom,21777,13.3,0.41,49 : 51,2021
78,Delft University of Technology,https://www.timeshighereducation.com/world-university-rankings/delft-university-technology,Netherlands,19594,17.4,0.31,30 : 70,2021
78,University of Tübingen,https://www.timeshighereducation.com/world-university-rankings/university-tubingen,Germany,27590,36.6,0.14,58 : 42,2021
80,University of Groningen,https://www.timeshighereducation.com/world-university-rankings/university-groningen,Netherlands,28392,23.9,0.23,51 : 49,2021
80,Humboldt University of Berlin,https://www.timeshighereducation.com/world-university-rankings/humboldt-university-berlin,Germany,33388,56.3,0.18,n/a,2021
80,Ohio State University (Main campus),https://www.timeshighereducation.com/world-university-rankings/ohio-state-university-main-campus,United States,54650,12.1,0.13,50 : 50,2021
83,University of Freiburg,https://www.timeshighereducation.com/world-university-rankings/university-freiburg,Germany,14878,32.5,0.21,54 : 46,2021
84,University of Copenhagen,https://www.timeshighereducation.com/world-university-rankings/university-copenhagen,Denmark,30746,4.2,0.17,62 : 38,2021
85,Emory University,https://www.timeshighereducation.com/world-university-rankings/emory-university,United States,12923,4,0.2,59 : 41,2021
85,University of Minnesota,https://www.timeshighereducation.com/world-university-rankings/university-minnesota,United States,61994,12.4,0.11,53 : 47,2021
87,École Polytechnique,https://www.timeshighereducation.com/world-university-rankings/ecole-polytechnique,France,2850,5.6,0.44,23 : 77,2021
87,University of Science and Technology of China,https://www.timeshighereducation.com/world-university-rankings/university-science-and-technology-china,China,16434,7.2,0.05,n/a,2021
87,Sorbonne University,https://www.timeshighereducation.com/world-university-rankings/sorbonne-university,France,43585,12.8,0.2,58 : 42,2021
90,"University of Maryland, College Park",https://www.timeshighereducation.com/world-university-rankings/university-maryland-college-park,United States,33671,16.6,0.11,48 : 52,2021
91,University of Bristol,https://www.timeshighereducation.com/world-university-rankings/university-bristol,United Kingdom,22981,14.5,0.28,55 : 45,2021
92,University of Basel,https://www.timeshighereducation.com/world-university-rankings/university-basel,Switzerland,9229,12.3,0.3,55 : 45,2021
92,University of Glasgow,https://www.timeshighereducation.com/world-university-rankings/university-glasgow,United Kingdom,26533,14.7,0.38,59 : 41,2021
94,Purdue University West Lafayette,https://www.timeshighereducation.com/world-university-rankings/purdue-university-west-lafayette,United States,41573,16.3,0.22,43 : 57,2021
94,Zhejiang University,https://www.timeshighereducation.com/world-university-rankings/zhejiang-university,China,33825,10.8,0.23,23 : 77,2021
96,Korea Advanced Institute of Science and Technology (KAIST),https://www.timeshighereducation.com/world-university-rankings/korea-advanced-institute-science-and-technology-kaist,South Korea,9514,10.4,0.09,20 : 80,2021
97,National Taiwan University (NTU),https://www.timeshighereducation.com/world-university-rankings/national-taiwan-university-ntu,Taiwan,24880,9.9,0.12,43 : 57,2021
98,"University of California, Irvine",https://www.timeshighereducation.com/world-university-rankings/university-california-irvine,United States,35040,17.5,0.27,52 : 48,2021
98,University of Helsinki,https://www.timeshighereducation.com/world-university-rankings/university-helsinki,Finland,22137,15.9,0.05,66 : 34,2021
100,Shanghai Jiao Tong University,https://www.timeshighereducation.com/world-university-rankings/shanghai-jiao-tong-university,China,38556,11.9,0.11,39 : 61,2021
101,Dartmouth College,https://www.timeshighereducation.com/world-university-rankings/dartmouth-college,United States,6336,7.6,0.15,48 : 52,2021
101,Sungkyunkwan University (SKKU),https://www.timeshighereducation.com/world-university-rankings/sungkyunkwan-university-skku,South Korea,23340,19.5,0.18,43 : 57,2021
103,Ghent University,https://www.timeshighereducation.com/world-university-rankings/ghent-university,Belgium,37587,36.1,0.11,56 : 44,2021
103,Lund University,https://www.timeshighereducation.com/world-university-rankings/lund-university,Sweden,27443,11.3,0.19,55 : 45,2021
105,Michigan State University,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university,United States,44618,16.1,0.15,51 : 49,2021
106,Aarhus University,https://www.timeshighereducation.com/world-university-rankings/aarhus-university,Denmark,26318,13.8,0.1,55 : 45,2021
107,University of Birmingham,https://www.timeshighereducation.com/world-university-rankings/university-birmingham,United Kingdom,30193,14.8,0.3,57 : 43,2021
107,RWTH Aachen University,https://www.timeshighereducation.com/world-university-rankings/rwth-aachen-university,Germany,45256,58.4,0.23,32 : 68,2021
109,University of Bern,https://www.timeshighereducation.com/world-university-rankings/university-bern,Switzerland,11417,16.8,0.16,57 : 43,2021
110,Queen Mary University of London,https://www.timeshighereducation.com/world-university-rankings/queen-mary-university-london,United Kingdom,19365,13.6,0.45,55 : 45,2021
111,Nanjing University,https://www.timeshighereducation.com/world-university-rankings/nanjing-university,China,37475,17.5,0.09,49 : 51,2021
111,Uppsala University,https://www.timeshighereducation.com/world-university-rankings/uppsala-university,Sweden,25112,15.8,0.18,58 : 42,2021
111,Vanderbilt University,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university,United States,12139,3,0.15,54 : 46,2021
114,University of Bonn,https://www.timeshighereducation.com/world-university-rankings/university-bonn,Germany,37439,70.2,0.13,56 : 44,2021
114,Penn State (Main campus),https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus,United States,46682,11,0.15,47 : 53,2021
116,Vrije Universiteit Amsterdam,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-amsterdam,Netherlands,25443,18,0.13,58 : 42,2021
117,University of Virginia (Main campus),https://www.timeshighereducation.com/world-university-rankings/university-virginia-main-campus,United States,24879,9,0.13,52 : 48,2021
118,University of Adelaide,https://www.timeshighereducation.com/world-university-rankings/university-adelaide,Australia,21054,30.7,0.29,49 : 51,2021
118,Free University of Berlin,https://www.timeshighereducation.com/world-university-rankings/free-university-berlin,Germany,36380,59.2,0.22,59 : 41,2021
120,Georgetown University,https://www.timeshighereducation.com/world-university-rankings/georgetown-university,United States,16451,8.5,0.19,55 : 45,2021
121,Case Western Reserve University,https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university,United States,10774,9.1,0.23,50 : 50,2021
121,Maastricht University,https://www.timeshighereducation.com/world-university-rankings/maastricht-university,Netherlands,17326,18.4,0.54,60 : 40,2021
121,University of Sheffield,https://www.timeshighereducation.com/world-university-rankings/university-sheffield,United Kingdom,26765,15.5,0.35,52 : 48,2021
124,University of Arizona,https://www.timeshighereducation.com/world-university-rankings/university-arizona,United States,39635,18,0.09,52 : 48,2021
